,Symbol,Description,Industry,Sector
0,A,"AGILENT TECHNOLOGIES, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
1,AA,ALCOA CORPORATION,Aluminum,Basic Industries
2,AAL,"AMERICAN AIRLINES GROUP, INC.",Air Freight/Delivery Services,Transportation
3,AAN,"AARON'S, INC.",Diversified Commercial Services,Technology
4,AAOI,"APPLIED OPTOELECTRONICS, INC.",Semiconductors,Technology
5,AAON,"AAON, INC.",Industrial Machinery/Components,Capital Goods
6,AAP,ADVANCE AUTO PARTS INC,Other Specialty Stores,Consumer Services
7,AAPL,APPLE INC.,Computer Manufacturing,Technology
8,AAT,"AMERICAN ASSETS TRUST, INC.",Real Estate Investment Trusts,Consumer Services
9,AAWW,ATLAS AIR WORLDWIDE HOLDINGS,Transportation Services,Transportation
10,AAXN,"AXON ENTERPRISE, INC.",Ordnance And Accessories,Capital Goods
11,ABBV,ABBVIE INC.,Major Pharmaceuticals,Health Care
12,ABC,AMERISOURCEBERGEN CORPORATION (HOLDING CO),Other Pharmaceuticals,Health Care
13,ABCB,AMERIS BANCORP,Major Banks,Finance
14,ABEO,ABEONA THERAPEUTICS INC.,Major Pharmaceuticals,Health Care
15,ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Aftermarket,Consumer Durables
16,ABM,ABM INDUSTRIES INCORPORATED,Diversified Commercial Services,Finance
17,ABMD,"ABIOMED, INC.",Medical/Dental Instruments,Health Care
18,ABR,ARBOR REALTY TRUST,Real Estate Investment Trusts,Consumer Services
19,ABT,ABBOTT LABORATORIES,Major Pharmaceuticals,Health Care
20,ABTX,"ALLEGIANCE BANCSHARES, INC.",Major Banks,Finance
21,AC,"ASSOCIATED CAPITAL GROUP, INC.",Investment Bankers/Brokers/Service,Finance
22,ACAD,ACADIA PHARMACEUTICALS INC.,Major Pharmaceuticals,Health Care
23,ACBI,"ATLANTIC CAPITAL BANCSHARES, INC.",Major Banks,Finance
24,ACC,AMERICAN CAMPUS COMMUNITIES INC,Real Estate Investment Trusts,Consumer Services
25,ACCO,ACCO BRANDS CORPORATION,Publishing,Consumer Durables
26,ACGL,ARCH CAPITAL GROUP LTD.,Property-Casualty Insurers,Finance
